group	names	scores	logfoldchanges	pvals	pvals_adj
20	IGHA1	3.1720536		0.0015136511539934362	0.3784127884983591
20	IGLC3	2.8870382		0.0038888710379158006	0.8641935639812891
20	IQGAP3	2.5116832		0.012015689286517552	0.9999578204591228
20	IGHM	2.4602315		0.013884744809250884	0.9999578204591228
20	CXCL11	1.6693137		0.09505523710666923	0.9999578204591228
21	SYP	29.406261		4.567166390419988e-190	9.134332780839975e-187
21	CYP2A7	16.86202		8.561250237493901e-64	8.561250237493902e-61
21	CYP2A6	13.0259285		8.713502253031939e-39	5.809001502021292e-36
21	FTL	3.9171364		8.960705041659875e-05	0.044803525208299375
21	IGLC2	2.8443048		0.004450844007056442	0.9998733303972032
21	GRIA2	2.1651998		0.0303723839793498	0.9998733303972032
21	ASCL1	1.767739		0.0771045346584146	0.9998733303972032
21	CCL3L1	1.4632063		0.14341095155916916	0.9998733303972032
21	CTSS	1.257289		0.20864900230641514	0.9998733303972032
21	IGHA1	1.1563693		0.2475301008569678	0.9998733303972032
22	GSTA1	41.12631		0.0	0.0
22	ETS1	9.244726		2.3584404207124975e-20	2.3584404207124974e-17
22	RGCC	8.8502035		8.736003115531266e-19	5.824002077020844e-16
22	ADAMTS9	7.402718		1.334247733416372e-13	6.67123866708186e-11
22	IGFL1	6.6951566		2.1544086180718986e-11	8.617634472287594e-09
22	C1R	6.249134		4.1273402090017594e-10	1.375780069667253e-07
22	TNFRSF1B	5.8577356		4.692203606745666e-09	1.340629601927333e-06
22	SPARCL1	5.378956		7.491913850025616e-08	1.664869744450137e-05
22	APOE	4.4378815		9.084864463077884e-06	0.0018169728926155768
22	C1S	4.0054317		6.190427692698421e-05	0.011255323077633494
23	MT1A	20.805758		3.838506410672227e-96	7.677012821344454e-93
23	AKR1C1	16.233004		2.946773451925674e-59	2.946773451925674e-56
23	CRISPLD2	10.581223		3.6417402045379305e-26	2.427826803025287e-23
23	C11orf96	6.4130144		1.4266999615224105e-10	7.133499807612052e-08
23	MMP3	3.6007602		0.0003172880971224952	0.12691523884899808
23	MEG3	1.8923804		0.05844031511125139	0.9996797106593235
23	RGS5	0.90365547		0.3661781092607994	0.9996797106593235
