Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	UV Protection (GO:0009650)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	SCARA3;MC1R;SDF4
GO_Biological_Process_2023	Cardiolipin Biosynthetic Process (GO:0032049)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	PGS1;TAMM41;PLA2G6
GO_Biological_Process_2023	Cellular Modified Amino Acid Biosynthetic Process (GO:0042398)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	GATM;PTDSS1;PLOD2
GO_Biological_Process_2023	Deadenylation-Dependent Decapping Of Nuclear-Transcribed mRNA (GO:0000290)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	DCP1A;DCPS;DCP1B
GO_Biological_Process_2023	Fatty Acid Alpha-Oxidation (GO:0001561)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	PHYH;PEX13;SLC27A2
GO_Biological_Process_2023	Folic Acid Transport (GO:0015884)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	SLC25A32;FOLR3;FOLR1
GO_Biological_Process_2023	Glycine Metabolic Process (GO:0006544)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	RIDA;GLDC;BAAT
GO_Biological_Process_2023	Hyperosmotic Response (GO:0006972)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	ARHGEF2;YBX3;ICOSLG
GO_Biological_Process_2023	Kidney Mesenchyme Development (GO:0072074)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	WT1;SIX2;OXSR1
GO_Biological_Process_2023	Lens Fiber Cell Development (GO:0070307)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	BFSP1;ATF4;EPHA2
